input_gate,forget_gate,cell_gate,output_gate
0.37098333,0.46951241,-0.06566042,0.57476865
0.42892352,0.42607837,-0.03829737,0.33082166
0.30690353,0.38727008,0.08555425,0.29740355
0.45439920,0.31989651,-0.11837649,0.47821792
0.41126496,0.53433143,0.39187066,0.42822578
0.30910370,0.37619625,-0.11933626,0.28861010
0.64255850,0.77974027,-0.65132902,0.36771770
0.45300224,0.47515979,0.09991578,0.45610034
0.44015241,0.35969393,0.06286325,0.41291351
0.31189549,0.33945084,-0.16885534,0.42428597
0.41818436,0.36952675,0.03904710,0.41029097
0.36577859,0.29849467,0.16917517,0.31265967
0.25745038,0.53783618,0.08033502,0.17913577
0.38431966,0.43180125,0.21060508,0.41815595
0.47093636,0.51197497,0.09914366,0.52820121
0.41006105,0.56009974,-0.02861756,0.42917328
0.19031114,0.31448578,0.01294414,0.19477422
0.16257680,0.28245869,-0.04402806,0.19451319
0.54464129,0.48082036,0.11925158,0.54980227
0.39346082,0.37866841,0.09035568,0.39008419
0.49779663,0.47258352,-0.22098510,0.53510695
0.21334076,0.35360691,-0.04022060,0.21993333
0.43651022,0.44396954,0.07087721,0.49244979
0.23775843,0.47675722,-0.14257495,0.34949477
0.19558100,0.31181214,-0.43926148,0.21465214
0.24625798,0.33156627,-0.07747663,0.39912899
0.20326228,0.17456774,0.10298546,0.22650740
0.36119483,0.39696002,-0.12930183,0.35206220
0.48234277,0.45685139,0.05045586,0.37069124
0.25732427,0.36403607,0.06982851,0.31247416
0.26504067,0.36461052,0.05619772,0.24096627
0.35820659,0.37706363,-0.29191407,0.31374901
0.38991248,0.29191530,-0.13889653,0.46718824
0.45732524,0.52892626,0.20729583,0.45548944
0.14400469,0.87000182,-0.00589827,0.32360662
0.42183739,0.38157535,0.17871998,0.44327817
0.35872084,0.32135507,-0.21093167,0.31554345
0.47678380,0.50870271,0.06549354,0.49609921
0.45701385,0.40013676,0.15924823,0.39102787
0.42613210,0.49329898,-0.14086824,0.47676711
0.30486383,0.33842502,0.04350018,0.25577362
0.49380514,0.45301844,0.06772268,0.39716482
0.30050829,0.37201302,0.29351286,0.38290451
0.18177466,0.31771176,-0.07209519,0.18824158
0.32352507,0.30613228,0.02381894,0.26247565
0.42613254,0.44851086,0.39968365,0.41796316
0.48489044,0.53020712,-0.33767126,0.46743774
0.40659225,0.47808138,-0.03953068,0.33217803
0.55310197,0.55942883,-0.22911273,0.35695829
0.18135613,0.33136820,-0.07729264,0.20987496
0.48021529,0.67126788,-0.01926343,0.52231365
0.36238429,0.45354146,-0.06036728,0.30602930
0.17839761,0.43388993,0.03431689,0.27783280
0.54509127,0.55130739,0.01195754,0.59925567
0.50889011,0.47356468,-0.14301892,0.43365444
0.46299597,0.43956469,0.34284430,0.49983171
0.32910677,0.33329677,-0.08642154,0.33685922
0.28063334,0.38610230,-0.02150271,0.30463809
0.48398262,0.41564898,0.07505527,0.47743869
0.27319221,0.41224119,-0.02451125,0.28025234
0.34904390,0.41308180,-0.04435402,0.43322462
0.21493842,0.38277546,0.05731995,0.23779449
0.31739777,0.46612455,0.00571408,0.33652377
0.28765932,0.34754398,0.27377411,0.42572790
0.26618649,0.38549184,-0.00234925,0.34510919
0.48575355,0.48578757,0.24679791,0.45341665
0.23318274,0.30930357,0.08308749,0.29197165
0.28071539,0.31186353,-0.08567780,0.34227049
0.45655731,0.50465526,-0.01276263,0.42622323
0.44448258,0.45121844,0.13488917,0.47612314
0.48182375,0.51255001,0.23699956,0.41610995
0.46706348,0.42810710,-0.08978823,0.44349419
0.22033862,0.29721423,-0.17204701,0.18437889
0.42094436,0.38453564,-0.11244925,0.40229031
0.23989462,0.35142016,0.02594145,0.24123262
0.27091733,0.38631985,0.19136667,0.37853308
0.56961070,0.57220529,0.21964189,0.61317189
0.47785313,0.48982370,0.06897274,0.48672201
0.44761956,0.44414386,0.04383756,0.40951332
0.18466784,0.37610738,0.11268526,0.19032709
0.26664876,0.28097745,0.36148259,0.24010185
0.31171828,0.68615313,-0.00619187,0.33090344
0.41642838,0.51052485,-0.16521927,0.48145456
0.46063562,0.48789386,0.22810967,0.47676264
0.17333617,0.41135526,0.02183334,0.23223870
0.42052700,0.43478489,0.08374221,0.37882306
0.17621054,0.27537107,-0.18396508,0.15928339
0.19692383,0.34653052,0.16544242,0.21955201
0.48006353,0.50724604,0.19765044,0.48493764
0.47512665,0.53615681,-0.30293776,0.47522802
0.29860668,0.41605743,0.24094110,0.39577975
0.24676651,0.32860385,0.18805469,0.27709319
0.43302627,0.44569177,0.22126194,0.41439457
0.70043208,0.63966678,0.02827456,0.43848872
