Address    Float           Fixed(Hex)   Fixed(Dec)   Reconstructed   Error       
==========================================================================================
0          0.41163981      0069         105          0.41015625      1.48356000e-03
1          -0.04233827     FFF5         65525        -0.04296875     6.30480000e-04
2          0.15925972      0029         41           0.16015625      8.96530000e-04
3          -0.04232338     FFF5         65525        -0.04296875     6.45370000e-04
4          0.46040803      0076         118          0.46093750      5.29470000e-04
5          -0.21536376     FFC9         65481        -0.21484375     5.20010000e-04
6          0.14009801      0024         36           0.14062500      5.26990000e-04
7          0.20977688      0036         54           0.21093750      1.16062000e-03
8          -0.27527791     FFBA         65466        -0.27343750     1.84041000e-03
9          0.10638025      001B         27           0.10546875      9.11500000e-04
100        -0.00828945     FFFE         65534        -0.00781250     4.76950000e-04
101        0.15591006      0028         40           0.15625000      3.39940000e-04
102        0.19979033      0033         51           0.19921875      5.71580000e-04
103        0.15141982      0027         39           0.15234375      9.23930000e-04
104        0.02745700      0007         7            0.02734375      1.13250000e-04
105        0.02578093      0007         7            0.02734375      1.56282000e-03
106        -0.06377535     FFF0         65520        -0.06250000     1.27535000e-03
107        -0.08321488     FFEB         65515        -0.08203125     1.18363000e-03
108        -0.06519119     FFEF         65519        -0.06640625     1.21506000e-03
109        -0.27002111     FFBB         65467        -0.26953125     4.89860000e-04
200        0.05222312      000D         13           0.05078125      1.44187000e-03
201        0.03309497      0008         8            0.03125000      1.84497000e-03
202        -0.06953301     FFEE         65518        -0.07031250     7.79490000e-04
203        0.11184406      001D         29           0.11328125      1.43719000e-03
204        0.16632545      002B         43           0.16796875      1.64330000e-03
205        0.03013082      0008         8            0.03125000      1.11918000e-03
206        -0.01288604     FFFD         65533        -0.01171875     1.16729000e-03
207        0.02773432      0007         7            0.02734375      3.90570000e-04
208        -0.05389094     FFF2         65522        -0.05468750     7.96560000e-04
209        -0.14374810     FFDB         65499        -0.14453125     7.83150000e-04
300        0.13894133      0024         36           0.14062500      1.68367000e-03
301        -0.08968645     FFE9         65513        -0.08984375     1.57300000e-04
302        -0.09587051     FFE7         65511        -0.09765625     1.78574000e-03
303        -0.05800923     FFF1         65521        -0.05859375     5.84520000e-04
304        0.15219636      0027         39           0.15234375      1.47390000e-04
305        0.20943063      0036         54           0.21093750      1.50687000e-03
306        0.04110206      000B         11           0.04296875      1.86669000e-03
307        0.09178770      0017         23           0.08984375      1.94395000e-03
308        0.04240355      000B         11           0.04296875      5.65200000e-04
309        0.14298397      0025         37           0.14453125      1.54728000e-03
400        0.15302800      0027         39           0.15234375      6.84250000e-04
401        -0.05603667     FFF2         65522        -0.05468750     1.34917000e-03
402        -0.13377550     FFDE         65502        -0.13281250     9.63000000e-04
403        0.02288952      0006         6            0.02343750      5.47980000e-04
404        0.21357152      0037         55           0.21484375      1.27223000e-03
405        0.12188463      001F         31           0.12109375      7.90880000e-04
406        -0.03506493     FFF7         65527        -0.03515625     9.13200000e-05
407        -0.17504685     FFD3         65491        -0.17578125     7.34400000e-04
408        -0.00667103     FFFE         65534        -0.00781250     1.14147000e-03
409        -0.08049129     FFEB         65515        -0.08203125     1.53996000e-03
500        0.08065616      0015         21           0.08203125      1.37509000e-03
501        -0.11425034     FFE3         65507        -0.11328125     9.69090000e-04
502        -0.14242893     FFDC         65500        -0.14062500     1.80393000e-03
503        0.03652520      0009         9            0.03515625      1.36895000e-03
504        0.10539577      001B         27           0.10546875      7.29800000e-05
505        -0.00818248     FFFE         65534        -0.00781250     3.69980000e-04
506        -0.01068578     FFFD         65533        -0.01171875     1.03297000e-03
507        0.05417033      000E         14           0.05468750      5.17170000e-04
508        -0.11008125     FFE4         65508        -0.10937500     7.06250000e-04
509        -0.28598318     FFB7         65463        -0.28515625     8.26930000e-04
600        0.03104722      0008         8            0.03125000      2.02780000e-04
601        -0.04984307     FFF3         65523        -0.05078125     9.38180000e-04
602        0.20658435      0035         53           0.20703125      4.46900000e-04
603        0.01800943      0005         5            0.01953125      1.52182000e-03
604        -0.40711644     FF98         65432        -0.40625000     8.66440000e-04
605        -0.07724502     FFEC         65516        -0.07812500     8.79980000e-04
606        -0.09865172     FFE7         65511        -0.09765625     9.95470000e-04
607        0.16044226      0029         41           0.16015625      2.86010000e-04
608        0.04351323      000B         11           0.04296875      5.44480000e-04
609        0.09314925      0018         24           0.09375000      6.00750000e-04
700        -0.04368160     FFF5         65525        -0.04296875     7.12850000e-04
701        -0.05190703     FFF3         65523        -0.05078125     1.12578000e-03
702        -0.11866738     FFE2         65506        -0.11718750     1.47988000e-03
703        -0.11623394     FFE2         65506        -0.11718750     9.53560000e-04
704        -0.01362240     FFFD         65533        -0.01171875     1.90365000e-03
705        0.05233927      000D         13           0.05078125      1.55802000e-03
706        -0.17362419     FFD4         65492        -0.17187500     1.74919000e-03
707        -0.18091002     FFD2         65490        -0.17968750     1.22252000e-03
708        -0.00258303     FFFF         65535        -0.00390625     1.32322000e-03
709        -0.12087411     FFE1         65505        -0.12109375     2.19640000e-04
800        0.19264935      0031         49           0.19140625      1.24310000e-03
801        -0.02401063     FFFA         65530        -0.02343750     5.73130000e-04
802        -0.00215609     FFFF         65535        -0.00390625     1.75016000e-03
803        0.02334543      0006         6            0.02343750      9.20700000e-05
804        0.13532560      0023         35           0.13671875      1.39315000e-03
