i_gate_raw,f_gate_raw,g_gate_raw,o_gate_raw
0.0015220562,0.3954440709,0.4947166376,0.1183871806
-0.3467013196,-0.7799142179,0.1549638224,-1.2572794594
-0.4499072397,-1.0492997530,-0.2231633441,-1.3611679227
0.1603723274,-0.4464425056,0.5518890925,-0.0724325697
0.2154889703,0.6168978867,0.0044350379,-0.0699375356
-0.3327815857,-0.5446097643,-0.0892142670,-0.4836563173
0.8492124602,0.9484622315,-0.2415696919,-0.9393859581
-0.3780851228,-0.3370577797,-0.3135591565,-0.3094025356
0.3429842046,-0.5208703952,-0.2358351579,-0.6276362545
-0.4941943905,-0.6252988279,0.3915641596,-0.8835188606
-0.4220292158,-0.3997412668,-0.1737767953,-0.8391688147
-0.0029846612,-0.3793062834,-0.2477785005,-0.3503096586
-0.7293185493,-0.1824902445,0.1550446430,-2.1653752365
-0.3184240009,-0.3947207888,-0.1095967588,0.1011479920
-0.5679139452,-0.6402355299,-0.1049970495,0.0901685248
-0.3883585651,-1.6164368772,0.8776918579,-1.1471711075
-0.6150624271,-0.4141196788,-0.0951587057,-0.8590700665
-0.7234514385,-0.7232224528,-0.4741523917,-0.8726620815
-0.1464018219,-0.9305663583,0.5688396745,-0.2490511229
-0.0360096823,-0.7252964289,-0.2936084846,-0.9172921680
0.0903690199,-0.5962853439,-0.0940517750,0.0575934978
-1.7318430202,-0.3135074812,-0.1730078791,-0.7939084328
-0.2204070918,-0.2721593321,0.4576837052,-0.3185373108
0.7349126512,0.7623965293,0.1693610848,-1.2737907229
0.7884415352,1.1780530897,-0.3365017070,-0.0452754339
-1.5204462186,-0.3691469441,-0.0299184066,0.0257906910
0.5948369821,-1.2816791991,0.2680635307,-1.1764210955
-0.0777496768,0.1561050033,-0.1999213300,-0.1306983902
0.0890828713,0.2410196456,0.1529934641,-0.1108211189
-0.6917165045,-0.5591342560,-0.2921656726,-0.6391980840
-0.3624604462,-0.4994087305,0.1130301106,-0.9879879402
0.1342028077,-0.5061850340,0.0683566054,-0.7781344400
-0.2185172771,-0.8847640165,0.2470333159,-1.0368899163
0.1956145551,0.1821903699,-0.0537382588,-0.3044067857
2.0153582903,1.7197637349,0.8714136002,-0.6404484657
