input_gate,forget_gate,cell_gate,output_gate
0.3637942650,0.7731743447,0.2464123322,0.6834093587
0.7609957937,0.1516368846,0.4374935781,0.0848524848
0.5378446729,0.4632318632,-0.0626573406,0.0453738965
0.3981824108,0.3266787373,0.5876759448,0.4648614389
0.6043984850,0.7736585450,0.7420712180,0.6564431519
0.3666798833,0.2150588879,-0.0347336920,0.4658969753
0.7681828921,0.8358125973,-0.4602224000,0.1930173211
0.1900710373,0.3675858793,-0.9364331100,0.4215267974
0.6241675523,0.3076080283,0.1281366586,0.2365397253
0.2678863894,0.3267711699,0.6846853685,0.2651948131
0.3575815273,0.4859381269,-0.0371710329,0.2370027534
0.5311429860,0.4079017487,-0.3661114423,0.2989598968
0.9021020273,0.9033621011,-0.5976081169,0.0086002083
0.4528365767,0.3269659998,-0.0890937452,0.4440994792
0.4219184404,0.1772128358,-0.4531091631,0.6174010132
0.4141714569,0.1231171054,0.7627012191,0.0937043030
0.4774925168,0.3021299865,-0.1022862119,0.1333095244
0.3367107837,0.2132596010,-0.1126310728,0.4419959792
0.5082669694,0.2193811909,0.5153758829,0.5336938558
0.6879676829,0.1734502521,0.1398607470,0.2163457151
0.6014523976,0.1513861876,-0.6178216592,0.6032966029
0.0645440274,0.6081267949,-0.1072356615,0.6161716440
0.5429784965,0.6817525799,0.5901383198,0.6746070431
0.9291270231,0.9350247612,0.3686957308,0.0137620044
0.7907280237,0.9154678909,-0.2719138389,0.2156893986
0.0169981318,0.4646056966,-0.1135855521,0.8271908251
0.8655680298,0.0103763696,0.2292073008,0.1127226807
0.2446386696,0.7186163804,-0.0165884522,0.3988512929
0.5758572012,0.6708801421,0.3405973736,0.4351563724
0.3177662918,0.2435899560,-0.3389762840,0.5525323928
0.2394983858,0.5061203077,0.0708160708,0.2565773368
0.5637329550,0.1643260740,-0.1699322342,0.3055209266
0.2554504876,0.2628566555,0.2070125827,0.3433751726
0.4266891131,0.5159228104,-0.3042438348,0.4447070011
0.9996553411,0.9901846305,0.9634147245,0.2081102052
0.8933225715,0.1731777707,0.3015990151,0.2529685336
0.8163478804,0.4124343001,-0.5996721389,0.1677828273
0.3227372950,0.3158026600,0.1048880372,0.2740247864
0.8028266494,0.5743514840,0.0153854945,0.3853734826
0.3742081196,0.4858481958,0.3584684422,0.3429413602
0.0433790934,0.4551069431,0.3806933006,0.6125856327
0.6708631240,0.4874974745,0.2375066432,0.1999984530
0.4606518942,0.1929604442,-0.4124784757,0.2055698249
0.1341241128,0.3678445019,-0.6339379240,0.3291983092
0.4458519282,0.4140075327,-0.3777768588,0.3197334428
0.8811899011,0.7426960553,0.9448119812,0.6150851873
0.7794381654,0.5470727784,-0.5578037043,0.3180692711
0.7030339305,0.2975584318,-0.2749912386,0.1231455088
0.8816713863,0.9860949858,-0.5260380651,0.8298699201
0.1878814824,0.3299453903,0.3084157246,0.5560130537
0.5897436896,0.5167366356,-0.7554028191,0.3746448639
0.6583292209,0.0018016411,0.5479551031,0.1224635127
0.0998342047,0.8894158196,0.5807334828,0.4512101059
0.4341533292,0.2100327817,0.5185378905,0.6123490529
0.4751560678,0.1863209484,0.3260888441,0.3686718953
0.3966360614,0.2478464810,0.0943275622,0.7117422814
0.1043639776,0.2076003969,-0.7666707131,0.1540987136
0.7797143999,0.2569206530,-0.5937403058,0.1789555723
0.7054149108,0.1429334454,-0.4419607342,0.5469546171
0.4429928449,0.4038958600,-0.1898811265,0.0158485595
0.8864687435,0.2216190836,-0.0972781950,0.1219541965
0.3775129996,0.6503349100,-0.4977313850,0.4169299033
0.9802723497,0.1202801003,0.5945878510,0.0895515929
0.6764194314,0.3426791846,0.6078055111,0.5840158555
0.2806084645,0.1633059000,0.0182087868,0.4997044847
0.4070693334,0.5862688991,0.0868819169,0.7132574921
0.5341229492,0.3361254783,-0.1101032992,0.0616983557
0.6292579692,0.2598884711,0.2962529195,0.1640702232
0.2584896267,0.1794926988,0.6748700230,0.1672759567
0.7263482112,0.3987599512,0.1141641701,0.4084626964
0.7874608149,0.5804207436,0.4202423338,0.4333344514
0.6714669812,0.2307391718,-0.1488537007,0.2720884344
0.0827872098,0.2736620681,-0.6939791618,0.4752541737
0.6594397222,0.3488765719,-0.5375308111,0.3158886497
0.2444168023,0.2091500632,0.3871102221,0.2483492885
0.2398640176,0.6898251776,-0.2123632335,0.4396696647
0.5253997998,0.9756248999,-0.9564148925,0.6661991588
0.8661082567,0.0659984597,0.0247428194,0.7858864610
0.6720140179,0.1827151722,0.4697528904,0.2851890005
0.7112910711,0.3211252039,0.5905190868,0.0182716278
0.6315089299,0.0832959778,-0.5502432645,0.0933838649
0.0493505133,0.2281737893,-0.2898364841,0.4515745847
0.5183400985,0.5593527298,0.3371778410,0.6501876711
0.6314589064,0.4308950546,-0.5618605918,0.4232509998
0.0322643582,0.3664336022,0.7036212187,0.7313749244
0.2515124041,0.7552080615,0.4870090170,0.2476598895
0.7329805514,0.2206462065,-0.6114909946,0.1889927982
0.3348032102,0.6697018930,0.0505977968,0.1724100952
0.3437920410,0.3101778128,0.2874267116,0.3503712800
0.1598652858,0.3680216991,-0.4773894446,0.5968713417
0.3691133383,0.5400289089,-0.4524911545,0.1249476351
0.6777745503,0.2116763880,-0.0287791054,0.5058647082
0.2155069619,0.5897828060,0.1310418005,0.5637378484
0.9381005670,0.8921057287,-0.3602148919,0.8839843663
