i_gate_raw,f_gate_raw,g_gate_raw,o_gate_raw
-0.5280006276,-0.1221018360,-0.0657550235,0.3013342254
-0.2862445028,-0.2978695591,-0.0383161116,-0.7044711583
-0.8146357324,-0.4588019410,0.0857639076,-0.8596927191
-0.1829114796,-0.7542474553,-0.1189341235,-0.0871835074
-0.3587385554,0.1375421352,0.4140081687,-0.2890936145
-0.8043129415,-0.5057248711,-0.1199076422,-0.9021440182
0.5864861380,1.2641534625,-0.7776034856,-0.5420204572
-0.1885476200,-0.0994427187,0.1002502732,-0.1760519495
-0.2405435484,-0.5766928013,0.0629462544,-0.3519340184
-0.7912725701,-0.6657424231,-0.1704881739,-0.3052033848
-0.3302312353,-0.5342475893,0.0390669594,-0.3627626464
-0.5503698975,-0.8544764399,0.1708174081,-0.7877142826
-1.0592626942,0.1516345894,0.0805085124,-1.5222137311
-0.4712532645,-0.2745058591,0.2138044244,-0.3303480030
-0.1163857667,0.0479090560,0.0994704346,0.1129246776
-0.3637130255,0.2415668736,-0.0286253799,-0.2852249300
-1.4479897094,-0.7792304034,0.0129448592,-1.4192816902
-1.6391790731,-0.9322982096,-0.0440565467,-1.4209468421
0.1790419300,-0.0767562206,0.1198217377,0.1998718244
-0.4327878230,-0.4952039919,0.0906027854,-0.4469583477
-0.0088135267,-0.1097760093,-0.2246915542,0.1406592446
-1.3049044959,-0.6032219417,-0.0402423048,-1.2660549350
-0.2553374180,-0.2250671309,0.0709962581,-0.0302031538
-1.1650083727,-0.0930381844,-0.1435529801,-0.6212607615
-1.4141456403,-0.7916609771,-0.4713153544,-1.2971079801
-1.1186704854,-0.7011095495,-0.0776322138,-0.4090956389
-1.3660283457,-1.5535943199,0.1033518801,-1.2281385049
-0.5701819854,-0.4181479118,-0.1300297480,-0.6099868398
-0.0706583193,-0.1730248268,0.0504987438,-0.5292525121
-1.0599224947,-0.5578888727,0.0699423379,-0.7885776474
-1.0199318880,-0.5554084315,0.0562569906,-1.1473892556
-0.5831565894,-0.5020304097,-0.3006573602,-0.7826501200
-0.4476801207,-0.8861000172,-0.1398002247,-0.1314359299
-0.1711153315,0.1158343967,0.2103440879,-0.1785148210
-1.7824190194,1.9009748318,-0.0058983384,-0.7372461923
-0.3152352605,-0.4828670309,0.1806601224,-0.2278682194
-0.5809203892,-0.7475514228,-0.2141461999,-0.7743287582
-0.0929316341,0.0348143489,0.0655874247,-0.0156034812
-0.1723701215,-0.4048953042,0.1606152719,-0.4429936589
-0.2976498449,-0.0268056812,-0.1418112887,-0.0929985362
-0.8242425241,-0.6703207437,0.0435276532,-1.0680524827
-0.0247807083,-0.1884822438,0.0678265000,-0.4172924635
-0.8448786202,-0.5235905878,0.3024059691,-0.4772381461
-1.5043700060,-0.7643076623,-0.0722204872,-1.4614766350
-0.7376188039,-0.8182640195,0.0238234456,-1.0331407843
-0.2976480382,-0.2066892659,0.4232723743,-0.3311404571
-0.0604566343,0.1209758204,-0.3514617539,-0.1304336548
-0.3780709140,-0.0877307120,-0.0395512879,-0.6983505779
0.2132119427,0.2388443007,-0.2332528360,-0.5885906342
-1.5071864828,-0.7020034016,-0.0774471125,-1.3256792641
-0.0791801883,0.7139251054,-0.0192658113,0.0893139214
-0.5650305447,-0.1863717360,-0.0604407743,-0.8187489062
-1.5272417556,-0.2659976381,0.0343303711,-0.9552371959
0.1808564287,0.2059545039,0.0119581126,0.4023646872
0.0355641830,-0.1058399545,-0.1440061890,-0.2669564125
-0.1482872305,-0.2429289173,0.3573121387,-0.0006731733
-0.7122277943,-0.6933117410,-0.0866376579,-0.6773221980
-0.9413222048,-0.4637259443,-0.0215060285,-0.8253079734
-0.0640914674,-0.3406607607,0.0751966812,-0.0903065458
-0.9784864600,-0.3547080833,-0.0245161561,-0.9432102797
-0.6232444898,-0.3512398145,-0.0443831422,-0.2687067228
-1.2954105779,-0.4777843323,0.0573828482,-1.1648093867
-0.7657565401,-0.1357096895,0.0057141409,-0.6788242601
-0.9067794051,-0.6298525105,0.2809392013,-0.2993029125
-1.0140577835,-0.4663021864,-0.0023492533,-0.6406076750
-0.0570012397,-0.0568650411,0.2520001468,-0.1868753515
-1.1904260562,-0.8033772072,0.0832794848,-0.8858274232
-0.9409158281,-0.7914215035,-0.0858883732,-0.6531924466
-0.1742100134,0.0186215634,-0.0127633195,-0.2972772083
-0.2229891211,-0.1957489119,0.1357163296,-0.0955801323
-0.0727370524,0.0502105918,0.2415927064,-0.3387631547
-0.1319371250,-0.2895783371,-0.0900306950,-0.2269929127
-1.2636941467,-0.8605989223,-0.1737753542,-1.4869570852
-0.3188978891,-0.4703405640,-0.1129268441,-0.3959311825
-1.1532573381,-0.6128025463,0.0259472721,-1.1459335341
-0.9899734162,-0.4628082249,0.1937554105,-0.4957792054
0.2802629819,0.2908543962,0.2232798173,0.4606648801
-0.0886454934,-0.0407108237,0.0690824255,-0.0531244502
-0.2102933252,-0.2243609894,0.0438656688,-0.3659776366
-1.4850368170,-0.5061035955,0.1131658835,-1.4478862093
-1.0116924859,-0.9396182958,0.3785902869,-1.1521212191
-0.7920984123,0.7821956230,-0.0061919511,-0.7041017959
-0.3374526910,0.0421056167,-0.1667477362,-0.0742158237
-0.1577840356,-0.0484340120,0.2321944708,-0.0930164668
-1.5621652631,-0.3583656297,0.0218368056,-1.1957131599
