input_gate,forget_gate,cell_gate,output_gate
0.3709833305,0.4695124095,-0.0656604183,0.5747686469
0.4289235225,0.4260783696,-0.0382973717,0.3308216610
0.3069035299,0.3872700752,0.0855542471,0.2974035494
0.4543991966,0.3198965068,-0.1183764912,0.4782179185
0.4112649604,0.5343314278,0.3918706630,0.4282257797
0.3091036956,0.3761962490,-0.1193362570,0.2886101003
0.6425584971,0.7797402745,-0.6513290167,0.3677176977
0.4530022442,0.4751597871,0.0999157755,0.4561003407
0.4401524061,0.3596939345,0.0628632501,0.4129135054
0.3118954893,0.3394508380,-0.1688553400,0.4242859679
0.4181843611,0.3695267513,0.0390470965,0.4102909720
0.3657785942,0.2984946660,0.1691751692,0.3126596678
0.2574503800,0.5378361777,0.0803350203,0.1791357675
0.3843196556,0.4318012494,0.2106050786,0.4181559511
0.4709363581,0.5119749736,0.0991436622,0.5282012073
0.4100610453,0.5600997444,-0.0286175638,0.4291732831
0.1903111445,0.3144857754,0.0129441362,0.1947742166
0.1625767972,0.2824586903,-0.0440280645,0.1945131915
0.5446412943,0.4808203603,0.1192515750,0.5498022715
0.3934608220,0.3786684087,0.0903556814,0.3900841890
0.4977966326,0.4725835246,-0.2209851049,0.5351069476
0.2133407555,0.3536069107,-0.0402205955,0.2199333301
0.4365102176,0.4439695374,0.0708772133,0.4924497855
0.2377584292,0.4767572175,-0.1425749539,0.3494947652
0.1955810034,0.3118121367,-0.4392614838,0.2146521415
0.2462579781,0.3315662724,-0.0774766319,0.3991289898
0.2032622849,0.1745677428,0.1029854574,0.2265073970
0.3611948337,0.3969600234,-0.1293018343,0.3520621999
0.4823427659,0.4568513868,0.0504558615,0.3706912446
0.2573242663,0.3640360744,0.0698285097,0.3124741577
0.2650406681,0.3646105242,0.0561977174,0.2409662692
0.3582065864,0.3770636338,-0.2919140718,0.3137490058
0.3899124795,0.2919153022,-0.1388965321,0.4671882403
0.4573252444,0.5289262630,0.2072958251,0.4554894355
0.1440046911,0.8700018176,-0.0058982700,0.3236066189
0.4218373882,0.3815753466,0.1787199810,0.4432781680
0.3587208396,0.3213550675,-0.2109316712,0.3155434537
0.4767837976,0.5087027082,0.0654935402,0.4960992088
0.4570138487,0.4001367607,0.1592482316,0.3910278719
0.4261320984,0.4932989809,-0.1408682447,0.4767671081
0.3048638326,0.3384250246,0.0435001840,0.2557736245
0.4938051399,0.4530184439,0.0677226805,0.3971648210
0.3005082861,0.3720130182,0.2935128574,0.3829045086
0.1817746572,0.3177117576,-0.0720951861,0.1882415816
0.3235250651,0.3061322846,0.0238189396,0.2624756509
0.4261325402,0.4485108564,0.3996836454,0.4179631583
0.4848904433,0.5302071236,-0.3376712649,0.4674377382
0.4065922533,0.4780813786,-0.0395306774,0.3321780273
0.5531019729,0.5594288257,-0.2291127261,0.3569582936
0.1813561306,0.3313681977,-0.0772926391,0.2098749637
0.4802152885,0.6712678838,-0.0192634280,0.5223136494
0.3623842896,0.4535414641,-0.0603672832,0.3060292969
0.1783976083,0.4338899317,0.0343168905,0.2778328003
0.5450912664,0.5513073942,0.0119575426,0.5992556688
0.5088901087,0.4735646843,-0.1430189214,0.4336544434
0.4629959746,0.4395646918,0.3428442995,0.4998317067
0.3291067661,0.3332967654,-0.0864215369,0.3368592221
0.2806333408,0.3861022994,-0.0215027136,0.3046380876
0.4839826157,0.4156489793,0.0750552668,0.4774386943
0.2731922063,0.4122411907,-0.0245112456,0.2802523374
0.3490439030,0.4130818016,-0.0443540222,0.4332246202
0.2149384224,0.3827754592,0.0573199478,0.2377944932
0.3173977659,0.4661245524,0.0057140788,0.3365237661
0.2876593224,0.3475439814,0.2737741098,0.4257279008
0.2661864873,0.3854918391,-0.0023492490,0.3451091865
0.4857535472,0.4857875693,0.2467979070,0.4534166501
0.2331827446,0.3093035654,0.0830874899,0.2919716507
0.2807153867,0.3118635266,-0.0856778003,0.3422704878
0.4565573118,0.5046552563,-0.0127626265,0.4262232268
0.4444825757,0.4512184388,0.1348891737,0.4761231415
0.4818237499,0.5125500114,0.2369995619,0.4161099528
0.4670634832,0.4281071003,-0.0897882323,0.4434941892
0.2203386210,0.2972142288,-0.1720470127,0.1843788916
0.4209443642,0.3845356398,-0.1124492480,0.4022903083
0.2398946200,0.3514201646,0.0259414505,0.2412326233
0.2709173285,0.3863198467,0.1913666736,0.3785330827
0.5696106963,0.5722052904,0.2196418912,0.6131718923
0.4778531273,0.4898236995,0.0689727390,0.4867220101
0.4476195628,0.4441438628,0.0438375550,0.4095133227
0.1846678430,0.3761073770,0.1126852584,0.1903270936
0.2666487592,0.2809774515,0.3614825862,0.2401018470
0.3117182773,0.6861531279,-0.0061918720,0.3309034351
0.4164283813,0.5105248493,-0.1652192705,0.4814545556
0.4606356245,0.4878938635,0.2281096744,0.4767626351
0.1733361654,0.4113552584,0.0218333353,0.2322386992
0.4205269998,0.4347848860,0.0837422139,0.3788230612
0.1762105423,0.2753710693,-0.1839650841,0.1592833925
0.1969238281,0.3465305206,0.1654424191,0.2195520131
0.4800635268,0.5072460354,0.1976504364,0.4849376384
0.4751266535,0.5361568096,-0.3029377594,0.4752280238
0.2986066791,0.4160574316,0.2409411028,0.3957797498
0.2467665133,0.3286038478,0.1880546946,0.2770931943
0.4330262714,0.4456917747,0.2212619411,0.4143945746
0.7004320766,0.6396667823,0.0282745631,0.4384887202
