i_gate_raw,f_gate_raw,g_gate_raw,o_gate_raw
-0.4677349378,-0.1521458358,-0.0437509960,0.2897569726
-0.5563138060,-0.4017493482,-0.0095806847,-0.9039943462
-1.1376156514,-0.6574862235,0.0702220781,-1.1486056661
0.0004509853,-0.8425032658,-0.0351219606,0.0566648738
-0.4724926126,0.0626237503,0.4751102106,-0.4298663430
-1.0248068366,-0.6730769324,-0.0726145035,-1.1368146423
0.7701521522,1.7035559065,-0.7256654911,-0.6826647895
-0.3374705131,-0.2128270103,0.1569326148,-0.3430701708
-0.3947893624,-0.7057284139,0.0548603405,-0.4568125810
-1.0611064284,-0.8293300408,-0.1467287447,-0.5232160588
-0.4569843391,-0.6083922610,0.0552403649,-0.4391043902
-0.7980701284,-1.0487199896,0.0731116788,-1.0811086649
-1.5515147142,-0.0458895991,0.1226585753,-2.0254350439
-0.5413418249,-0.3738874075,0.2747920292,-0.3828152968
-0.1808813667,-0.0287187637,0.1211555292,0.0616865043
-0.5493974174,0.1467495780,-0.0084483750,-0.3861076687
-1.7012171800,-0.9328256777,0.0073430858,-1.6857733152
-1.9556037117,-1.2083295395,-0.0338431269,-1.7544251807
0.1175724761,-0.1225275255,0.1119060646,0.1269480001
-0.4886497148,-0.5915520227,0.1649894351,-0.4345003484
-0.0498935822,-0.1635219759,-0.2940430035,0.0870811337
-1.4804043333,-0.7154934612,-0.0317573714,-1.3991757488
-0.3433298600,-0.3397666910,0.0786364589,-0.1341501984
-1.3996696491,-0.2115763852,-0.0760393508,-0.7789843797
-1.6619219918,-0.8600020794,-0.6369918279,-1.6287077667
-1.4124941558,-0.8418600411,-0.0673103793,-0.6911633402
-1.6378016468,-1.6528317224,0.1261566779,-1.4232866991
-0.7710104318,-0.5547548675,-0.1092691686,-0.8341699772
-0.2433254629,-0.2745294195,0.0719436154,-0.7182874670
-1.3292341805,-0.7175072614,0.0598130197,-1.0116774996
-1.3279970041,-0.7344598044,0.0250201169,-1.4102933167
-0.7931003771,-0.6621578954,-0.3069933551,-0.9605508607
-0.4559812299,-0.9814375395,-0.0946416564,-0.1913994033
-0.2452689653,0.0215142890,0.2548021592,-0.2552220695
-2.3748842199,2.1102447956,-0.1472158092,-1.1119942718
-0.3760282986,-0.5564530055,0.1925212049,-0.2688227993
-0.8701835442,-0.9257998715,-0.2031449676,-1.0509683851
-0.1009390439,-0.0039231384,0.0969637871,-0.0072970834
-0.4001368710,-0.5765138376,0.2312259225,-0.7181944866
-0.3475734017,-0.0950446895,-0.2227876482,-0.1530516309
-1.1065243664,-0.8177690293,0.0372069115,-1.3175310749
-0.1001714572,-0.2623578494,0.0888457616,-0.4887804477
-1.0925798628,-0.6871476843,0.3097000427,-0.6879533056
-1.7383477907,-0.8478846709,-0.0598278660,-1.6963476985
-0.9472819649,-0.9123648538,0.0163678835,-1.1882765579
-0.3513855503,-0.2782843337,0.4783414662,-0.4332992343
-0.1187750241,0.1272863305,-0.4968375878,-0.2002234249
-0.6949167202,-0.2137326773,-0.0415323368,-0.9522409323
0.0828171517,0.2803103004,-0.2070463357,-0.7581255939
-1.8266086769,-0.8081653059,-0.0474129623,-1.6562195609
-0.1877706222,0.7602940169,0.1077879212,0.0695275639
-0.7797716978,-0.2776151510,-0.0386005482,-1.0002417276
-1.7854824740,-0.4069245770,0.0173315283,-1.2188461555
0.3802073317,0.1388261261,0.0419185418,0.6929497186
-0.0382389159,-0.1790730906,-0.2134632953,-0.3318101459
-0.2874486397,-0.3392840492,0.3810845339,-0.1315300346
-0.9701857634,-0.8103477167,-0.0490947484,-0.8914545285
-1.1509909778,-0.6033434620,0.0049660773,-1.0127301009
-0.0873544952,-0.3698677929,0.1222677615,-0.0715217136
-1.6557164503,-0.8569811961,-0.3641181138,-1.5225836455
-1.1358597547,-0.3960005617,-0.0260841324,-0.3440261253
-1.6281048610,-0.7166206937,0.0980631486,-1.5229120036
-1.1045068326,-0.2025943622,-0.0002673991,-0.9574550385
-0.9127866248,-0.6977615737,0.1581421478,-0.3423889722
-1.2136225750,-0.5614459478,0.0047380913,-0.8237441176
-0.0616602257,-0.0557502176,0.3302818801,-0.2655833580
-1.5099536558,-0.9411747508,0.0505498364,-1.1480325264
-1.2559392577,-0.8935652177,-0.0542014668,-0.8741546915
-0.2023138998,-0.0984494249,-0.0003175546,-0.3755758250
-0.2687748512,-0.2680927895,0.1325552860,0.0225307616
-0.1667467767,-0.0687148463,0.2375478416,-0.4942330066
-0.2816244347,-0.4069217194,-0.1034513553,-0.3586586317
-1.6123303263,-1.0538108999,-0.1086044737,-1.8615533429
-0.4758778621,-0.5874579406,-0.1320850531,-0.5128809875
-1.4346605596,-0.7925901989,0.0112372254,-1.3955170740
-1.2123204754,-0.6468885569,0.1383076628,-0.6941044453
0.0391280524,0.3593998450,0.2346413990,0.3557289917
-0.2297499321,-0.1952202533,0.0269448208,-0.1989023328
-0.3231914931,-0.3659716402,0.0818969834,-0.4646579579
-1.7378815113,-0.7088955230,0.0632815414,-1.6963444971
-1.3755424333,-1.2680726191,0.3672783187,-1.5159332335
-1.0534984385,0.8555436712,-0.0075573305,-0.9278025227
-0.3831729434,-0.0561854622,-0.1653497126,-0.1903977591
-0.2142877226,-0.1154903146,0.2838538516,-0.1609420306
-1.8062299805,-0.5038841656,-0.0051595070,-1.4111852634
-0.4494205786,-0.3496712618,0.0993814555,-0.6043564280
-1.9711155589,-1.2000219374,-0.1363502267,-2.0510146251
-1.7036244385,-0.8031563078,0.1276978749,-1.5888616331
-0.1429233187,-0.0310358978,0.3554297540,-0.1366464521
-0.1081783715,0.1225971891,-0.4829482994,-0.1479060515
-1.1301398274,-0.5614724409,0.2746041028,-0.7064370737
-1.4484346124,-0.8947481485,0.1414250169,-1.2285165088
-0.3539391757,-0.3073844295,0.2728229794,-0.4454834273
1.1738513857,0.5519695704,0.0232209370,0.0865319188
