Addr     Float           Hex      Binary            
============================================================
0        0.41163981      0069     0_0000000_01101001
1        -0.04233827     800B     1_0000000_00001011
2        0.15925972      0029     0_0000000_00101001
3        -0.04232338     800B     1_0000000_00001011
4        0.46040803      0076     0_0000000_01110110
5        -0.21536376     8037     1_0000000_00110111
6        0.14009801      0024     0_0000000_00100100
7        0.20977688      0036     0_0000000_00110110
8        -0.27527791     8046     1_0000000_01000110
9        0.10638025      001B     0_0000000_00011011
100      -0.00828945     8002     1_0000000_00000010
101      0.15591006      0028     0_0000000_00101000
102      0.19979033      0033     0_0000000_00110011
103      0.15141982      0027     0_0000000_00100111
104      0.02745700      0007     0_0000000_00000111
105      0.02578093      0007     0_0000000_00000111
106      -0.06377535     8010     1_0000000_00010000
107      -0.08321488     8015     1_0000000_00010101
108      -0.06519119     8011     1_0000000_00010001
109      -0.27002111     8045     1_0000000_01000101
200      0.05222312      000D     0_0000000_00001101
201      0.03309497      0008     0_0000000_00001000
202      -0.06953301     8012     1_0000000_00010010
203      0.11184406      001D     0_0000000_00011101
204      0.16632545      002B     0_0000000_00101011
205      0.03013082      0008     0_0000000_00001000
206      -0.01288604     8003     1_0000000_00000011
207      0.02773432      0007     0_0000000_00000111
208      -0.05389094     800E     1_0000000_00001110
209      -0.14374810     8025     1_0000000_00100101
300      0.13894133      0024     0_0000000_00100100
301      -0.08968645     8017     1_0000000_00010111
302      -0.09587051     8019     1_0000000_00011001
303      -0.05800923     800F     1_0000000_00001111
304      0.15219636      0027     0_0000000_00100111
305      0.20943063      0036     0_0000000_00110110
306      0.04110206      000B     0_0000000_00001011
307      0.09178770      0017     0_0000000_00010111
308      0.04240355      000B     0_0000000_00001011
309      0.14298397      0025     0_0000000_00100101
400      0.15302800      0027     0_0000000_00100111
401      -0.05603667     800E     1_0000000_00001110
402      -0.13377550     8022     1_0000000_00100010
403      0.02288952      0006     0_0000000_00000110
404      0.21357152      0037     0_0000000_00110111
405      0.12188463      001F     0_0000000_00011111
406      -0.03506493     8009     1_0000000_00001001
407      -0.17504685     802D     1_0000000_00101101
408      -0.00667103     8002     1_0000000_00000010
409      -0.08049129     8015     1_0000000_00010101
500      0.08065616      0015     0_0000000_00010101
501      -0.11425034     801D     1_0000000_00011101
502      -0.14242893     8024     1_0000000_00100100
503      0.03652520      0009     0_0000000_00001001
504      0.10539577      001B     0_0000000_00011011
505      -0.00818248     8002     1_0000000_00000010
506      -0.01068578     8003     1_0000000_00000011
507      0.05417033      000E     0_0000000_00001110
508      -0.11008125     801C     1_0000000_00011100
509      -0.28598318     8049     1_0000000_01001001
600      0.03104722      0008     0_0000000_00001000
601      -0.04984307     800D     1_0000000_00001101
602      0.20658435      0035     0_0000000_00110101
603      0.01800943      0005     0_0000000_00000101
604      -0.40711644     8068     1_0000000_01101000
605      -0.07724502     8014     1_0000000_00010100
606      -0.09865172     8019     1_0000000_00011001
607      0.16044226      0029     0_0000000_00101001
608      0.04351323      000B     0_0000000_00001011
609      0.09314925      0018     0_0000000_00011000
700      -0.04368160     800B     1_0000000_00001011
701      -0.05190703     800D     1_0000000_00001101
702      -0.11866738     801E     1_0000000_00011110
703      -0.11623394     801E     1_0000000_00011110
704      -0.01362240     8003     1_0000000_00000011
705      0.05233927      000D     0_0000000_00001101
706      -0.17362419     802C     1_0000000_00101100
707      -0.18091002     802E     1_0000000_00101110
708      -0.00258303     8001     1_0000000_00000001
709      -0.12087411     801F     1_0000000_00011111
800      0.19264935      0031     0_0000000_00110001
801      -0.02401063     8006     1_0000000_00000110
802      -0.00215609     8001     1_0000000_00000001
803      0.02334543      0006     0_0000000_00000110
804      0.13532560      0023     0_0000000_00100011
805      -0.00389394     8001     1_0000000_00000001
806      0.08708428      0016     0_0000000_00010110
807      0.03310119      0008     0_0000000_00001000
808      0.10030866      001A     0_0000000_00011010
809      -0.03748567     800A     1_0000000_00001010
900      0.12237598      001F     0_0000000_00011111
901      -0.08462568     8016     1_0000000_00010110
902      -0.12557018     8020     1_0000000_00100000
903      -0.03206656     8008     1_0000000_00001000
904      0.23064008      003B     0_0000000_00111011
905      -0.01145304     8003     1_0000000_00000011
906      0.03944711      000A     0_0000000_00001010
907      0.02558134      0007     0_0000000_00000111
908      -0.02335707     8006     1_0000000_00000110
909      -0.19510189     8032     1_0000000_00110010
