====================================================================================================
 FULL VERIFICATION FILE - ALL 37,600 VALUES
====================================================================================================

Addr     Row   Col   Float           Hex      Binary               Reconstructed   Error       
====================================================================================================
0        0     0     0.41163981      0069     0_0000000_01101001   0.41015625      1.48e-03    
1        0     1     -0.04233827     800B     1_0000000_00001011   -0.04296875     6.30e-04    
2        0     2     0.15925972      0029     0_0000000_00101001   0.16015625      8.97e-04    
3        0     3     -0.04232338     800B     1_0000000_00001011   -0.04296875     6.45e-04    
4        0     4     0.46040803      0076     0_0000000_01110110   0.46093750      5.29e-04    
5        0     5     -0.21536376     8037     1_0000000_00110111   -0.21484375     5.20e-04    
6        0     6     0.14009801      0024     0_0000000_00100100   0.14062500      5.27e-04    
7        0     7     0.20977688      0036     0_0000000_00110110   0.21093750      1.16e-03    
8        0     8     -0.27527791     8046     1_0000000_01000110   -0.27343750     1.84e-03    
9        0     9     0.10638025      001B     0_0000000_00011011   0.10546875      9.11e-04    
10       0     10    -0.07846097     8014     1_0000000_00010100   -0.07812500     3.36e-04    
11       0     11    0.04135437      000B     0_0000000_00001011   0.04296875      1.61e-03    
12       0     12    -0.15752989     8028     1_0000000_00101000   -0.15625000     1.28e-03    
13       0     13    0.12126762      001F     0_0000000_00011111   0.12109375      1.74e-04    
14       0     14    -0.18377292     802F     1_0000000_00101111   -0.18359375     1.79e-04    
15       0     15    0.14076257      0024     0_0000000_00100100   0.14062500      1.38e-04    
16       0     16    0.13404378      0022     0_0000000_00100010   0.13281250      1.23e-03    
17       0     17    -0.11548195     801E     1_0000000_00011110   -0.11718750     1.71e-03    
18       0     18    0.05390411      000E     0_0000000_00001110   0.05468750      7.83e-04    
19       0     19    -0.00759732     8002     1_0000000_00000010   -0.00781250     2.15e-04    
20       0     20    -0.02122841     8005     1_0000000_00000101   -0.01953125     1.70e-03    
21       0     21    -0.03880328     800A     1_0000000_00001010   -0.03906250     2.59e-04    
22       0     22    0.12641689      0020     0_0000000_00100000   0.12500000      1.42e-03    
23       0     23    -0.13661915     8023     1_0000000_00100011   -0.13671875     9.96e-05    
24       0     24    -0.12804870     8021     1_0000000_00100001   -0.12890625     8.58e-04    
25       0     25    0.06728546      0011     0_0000000_00010001   0.06640625      8.79e-04    
26       0     26    -0.22371683     8039     1_0000000_00111001   -0.22265625     1.06e-03    
27       0     27    0.12993854      0021     0_0000000_00100001   0.12890625      1.03e-03    
28       0     28    0.09841529      0019     0_0000000_00011001   0.09765625      7.59e-04    
29       0     29    -0.10896040     801C     1_0000000_00011100   -0.10937500     4.15e-04    
30       0     30    -0.18457033     802F     1_0000000_00101111   -0.18359375     9.77e-04    
31       0     31    -0.10773522     801C     1_0000000_00011100   -0.10937500     1.64e-03    
32       0     32    0.03298362      0008     0_0000000_00001000   0.03125000      1.73e-03    
33       0     33    0.11016273      001C     0_0000000_00011100   0.10937500      7.88e-04    
34       0     34    -0.08739047     8016     1_0000000_00010110   -0.08593750     1.45e-03    
35       0     35    -0.20374732     8034     1_0000000_00110100   -0.20312500     6.22e-04    
36       0     36    0.00195654      0001     0_0000000_00000001   0.00390625      1.95e-03    
37       0     37    0.04551904      000C     0_0000000_00001100   0.04687500      1.36e-03    
38       0     38    -0.06739269     8011     1_0000000_00010001   -0.06640625     9.86e-04    
39       0     39    0.06968637      0012     0_0000000_00010010   0.07031250      6.26e-04    
40       0     40    0.30937508      004F     0_0000000_01001111   0.30859375      7.81e-04    
41       0     41    -0.12750545     8021     1_0000000_00100001   -0.12890625     1.40e-03    
42       0     42    -0.04209584     800B     1_0000000_00001011   -0.04296875     8.73e-04    
43       0     43    -0.01696383     8004     1_0000000_00000100   -0.01562500     1.34e-03    
44       0     44    -0.11760620     801E     1_0000000_00011110   -0.11718750     4.19e-04    
45       0     45    0.10169729      001A     0_0000000_00011010   0.10156250      1.35e-04    
46       0     46    0.03948281      000A     0_0000000_00001010   0.03906250      4.20e-04    
47       0     47    0.04618289      000C     0_0000000_00001100   0.04687500      6.92e-04    
48       0     48    -0.22561213     803A     1_0000000_00111010   -0.22656250     9.50e-04    
49       0     49    0.10880665      001C     0_0000000_00011100   0.10937500      5.68e-04    
50       0     50    0.05303153      000E     0_0000000_00001110   0.05468750      1.66e-03    
51       0     51    -0.14394476     8025     1_0000000_00100101   -0.14453125     5.86e-04    
52       0     52    -0.16395994     802A     1_0000000_00101010   -0.16406250     1.03e-04    
53       0     53    -0.15892485     8029     1_0000000_00101001   -0.16015625     1.23e-03    
54       0     54    -0.14668405     8026     1_0000000_00100110   -0.14843750     1.75e-03    
55       0     55    0.17397685      002D     0_0000000_00101101   0.17578125      1.80e-03    
56       0     56    -0.29772109     804C     1_0000000_01001100   -0.29687500     8.46e-04    
57       0     57    -0.07728577     8014     1_0000000_00010100   -0.07812500     8.39e-04    
58       0     58    -0.27238709     8046     1_0000000_01000110   -0.27343750     1.05e-03    
59       0     59    -0.12896273     8021     1_0000000_00100001   -0.12890625     5.65e-05    
60       0     60    -0.01015653     8003     1_0000000_00000011   -0.01171875     1.56e-03    
61       0     61    0.18983459      0031     0_0000000_00110001   0.19140625      1.57e-03    
62       0     62    0.17167629      002C     0_0000000_00101100   0.17187500      1.99e-04    
63       0     63    0.21749367      0038     0_0000000_00111000   0.21875000      1.26e-03    
64       0     64    -0.32993808     8054     1_0000000_01010100   -0.32812500     1.81e-03    
65       0     65    0.02714655      0007     0_0000000_00000111   0.02734375      1.97e-04    
66       0     66    0.17351107      002C     0_0000000_00101100   0.17187500      1.64e-03    
67       0     67    0.07084491      0012     0_0000000_00010010   0.07031250      5.32e-04    
68       0     68    -0.21221703     8036     1_0000000_00110110   -0.21093750     1.28e-03    
69       0     69    -0.09333174     8018     1_0000000_00011000   -0.09375000     4.18e-04    
70       0     70    0.01717853      0004     0_0000000_00000100   0.01562500      1.55e-03    
71       0     71    0.10791842      001C     0_0000000_00011100   0.10937500      1.46e-03    
72       0     72    -0.01310412     8003     1_0000000_00000011   -0.01171875     1.39e-03    
73       0     73    0.10944579      001C     0_0000000_00011100   0.10937500      7.08e-05    
74       0     74    -0.03657468     8009     1_0000000_00001001   -0.03515625     1.42e-03    
75       0     75    0.12359908      0020     0_0000000_00100000   0.12500000      1.40e-03    
76       0     76    0.07463720      0013     0_0000000_00010011   0.07421875      4.18e-04    
77       0     77    -0.05051278     800D     1_0000000_00001101   -0.05078125     2.68e-04    
78       0     78    0.02337066      0006     0_0000000_00000110   0.02343750      6.68e-05    
79       0     79    -0.22896142     803B     1_0000000_00111011   -0.23046875     1.51e-03    
80       0     80    0.12788893      0021     0_0000000_00100001   0.12890625      1.02e-03    
81       0     81    0.10091499      001A     0_0000000_00011010   0.10156250      6.48e-04    
82       0     82    0.03963451      000A     0_0000000_00001010   0.03906250      5.72e-04    
83       0     83    0.11100024      001C     0_0000000_00011100   0.10937500      1.63e-03    
84       0     84    -0.07457993     8013     1_0000000_00010011   -0.07421875     3.61e-04    
85       0     85    0.13227606      0022     0_0000000_00100010   0.13281250      5.36e-04    
86       0     86    -0.01625312     8004     1_0000000_00000100   -0.01562500     6.28e-04    
87       0     87    0.04040961      000A     0_0000000_00001010   0.03906250      1.35e-03    
88       0     88    -0.00221971     8001     1_0000000_00000001   -0.00390625     1.69e-03    
89       0     89    -0.08899323     8017     1_0000000_00010111   -0.08984375     8.51e-04    
90       0     90    0.00295964      0001     0_0000000_00000001   0.00390625      9.47e-04    
91       0     91    -0.12819107     8021     1_0000000_00100001   -0.12890625     7.15e-04    
92       0     92    -0.06238136     8010     1_0000000_00010000   -0.06250000     1.19e-04    
93       0     93    -0.00668914     8002     1_0000000_00000010   -0.00781250     1.12e-03    
94       0     94    0.06731539      0011     0_0000000_00010001   0.06640625      9.09e-04    
95       0     95    -0.08626830     8016     1_0000000_00010110   -0.08593750     3.31e-04    
96       0     96    0.03870477      000A     0_0000000_00001010   0.03906250      3.58e-04    
97       0     97    -0.01053845     8003     1_0000000_00000011   -0.01171875     1.18e-03    
98       0     98    0.07895818      0014     0_0000000_00010100   0.07812500      8.33e-04    
99       0     99    -0.41843602     806B     1_0000000_01101011   -0.41796875     4.67e-04    
100      1     0     -0.00828945     8002     1_0000000_00000010   -0.00781250     4.77e-04    
101      1     1     0.15591006      0028     0_0000000_00101000   0.15625000      3.40e-04    
102      1     2     0.19979033      0033     0_0000000_00110011   0.19921875      5.72e-04    
103      1     3     0.15141982      0027     0_0000000_00100111   0.15234375      9.24e-04    
104      1     4     0.02745700      0007     0_0000000_00000111   0.02734375      1.13e-04    
105      1     5     0.02578093      0007     0_0000000_00000111   0.02734375      1.56e-03    
106      1     6     -0.06377535     8010     1_0000000_00010000   -0.06250000     1.28e-03    
107      1     7     -0.08321488     8015     1_0000000_00010101   -0.08203125     1.18e-03    
108      1     8     -0.06519119     8011     1_0000000_00010001   -0.06640625     1.22e-03    
109      1     9     -0.27002111     8045     1_0000000_01000101   -0.26953125     4.90e-04    
110      1     10    0.08529387      0016     0_0000000_00010110   0.08593750      6.44e-04    
111      1     11    0.16017449      0029     0_0000000_00101001   0.16015625      1.82e-05    
112      1     12    -0.16166613     8029     1_0000000_00101001   -0.16015625     1.51e-03    
113      1     13    -0.01926114     8005     1_0000000_00000101   -0.01953125     2.70e-04    
