============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
--------------------------------------------------------------------------------------------------------------------------------------------
0       0.4116398096   0x069614   0|000|0110100101...           0.4116401672   3.58e-07       
1       -0.0423382744  0x80AD6B   1|000|0000101011...           -0.0423383713  9.69e-08       
2       0.1592597216   0x028C54   0|000|0010100011...           0.1592597961   7.45e-08       
3       -0.0423233770  0x80AD5B   1|000|0000101011...           -0.0423231125  2.65e-07       
4       0.4604080319   0x075DD5   0|000|0111010111...           0.4604082108   1.79e-07       
5       -0.2153637558  0x837221   1|000|0011011100...           -0.2153635025  2.53e-07       
6       0.1400980055   0x023DD7   0|000|0010001111...           0.1400976181   3.87e-07       
7       0.2097768784   0x035B3F   0|000|0011010110...           0.2097768784   4.31e-11       
8       -0.2752779126  0x84678A   1|000|0100011001...           -0.2752780914  1.79e-07       
9       0.1063802466   0x01B3BC   0|000|0001101100...           0.1063804626   2.16e-07       
10      -0.0784609690  0x814160   1|000|0001010000...           -0.0784606934  2.76e-07       
11      0.0413543731   0x00A963   0|000|0000101010...           0.0413541794   1.94e-07       
12      -0.1575298905  0x82853E   1|000|0010100001...           -0.1575298309  5.96e-08       
13      0.1212676167   0x01F0B6   0|000|0001111100...           0.1212673187   2.98e-07       
14      -0.1837729216  0x82F0BC   1|000|0010111100...           -0.1837730408  1.19e-07       
15      0.1407625675   0x024090   0|000|0010010000...           0.1407623291   2.38e-07       
16      0.1340437829   0x02250B   0|000|0010001001...           0.1340436935   8.94e-08       
17      -0.1154819503  0x81D904   1|000|0001110110...           -0.1154823303  3.80e-07       
18      0.0539041124   0x00DCCB   0|000|0000110111...           0.0539045334   4.21e-07       
19      -0.0075973170  0x801F1E   1|000|0000000111...           -0.0075969696  3.47e-07       
20      -0.0212284103  0x8056F4   1|000|0000010101...           -0.0212287903  3.80e-07       
21      -0.0388032794  0x809EF0   1|000|0000100111...           -0.0388031006  1.79e-07       
22      0.1264168918   0x0205CE   0|000|0010000001...           0.1264171600   2.68e-07       
